season,episode,title,air_date,imdb_id,imdb_rating,features_george_huang,heavy_finn_munch,heavy_trial,one_sentence_plot,one_sentence_reason
1,1,Payback,1999-09-20,,8.5,True,False,False,"The grisly murder and dismemberment of a New York cabbie draws the elite Special Victims Unit of the NYPD, including veteran Detective Elliot Stabler and his partner, Olivia Benson",Strong classic SVU pacing and a solid standalone watch.
1,2,A Single Life,1999-09-27,,8.5,True,False,False,"When the body of Gretchen Quinn is found wearing only a red slip after having gone through an upper-story window, Benson and Stabler soon find out that ""Gretchen Quinn"" never exist",Strong classic SVU pacing and a solid standalone watch.
1,3,...Or Just Look Like One,1999-10-04,,8.5,True,False,False,Stabler and Benson investigate the case of a beaten teen model who was dumped in front of a hospital.,Strong classic SVU pacing and a solid standalone watch.
1,4,Hysteria,1999-10-11,,8.5,True,False,False,Stabler and Benson investigate the murder of a young woman mistaken for a prostitute.,Strong classic SVU pacing and a solid standalone watch.
1,5,Wanderlust,1999-10-18,,8.5,True,False,False,"After a travel writer is found tied up with a woman's undergarments choking off his air supply, Benson and Stabler initially suspect his landlord's boyfriend, but suspicion soon tu",Strong classic SVU pacing and a solid standalone watch.
1,6,Sophomore Jinx,1999-10-25,,8.5,True,False,False,"Benson and Stabler investigate a female student's murder at a local college. When they develop two suspects on the basketball team, they experience resistance from the college, whi",Strong classic SVU pacing and a solid standalone watch.
1,7,Uncivilized,1999-11-15,,8.5,True,False,False,The murder of an 8-year-old boy leads to a case involving the rights of a convicted child molester who has served his sentence and has returned to society.,Strong classic SVU pacing and a solid standalone watch.
1,8,Stalked,1999-11-22,,8.5,True,False,False,A killing leads to a case in which the murderer is someone who stalks his victims...and Benson (Mariska Hargitay) finds that she's a target.,Strong classic SVU pacing and a solid standalone watch.
1,9,Stocks & Bondage,1999-11-29,,8.5,True,False,False,The investigation of the killing of a Wall Street stock analyst involves illicit financial dealings and sado-masochism.,Strong classic SVU pacing and a solid standalone watch.
1,10,Closure,2000-01-07,,8.5,True,False,False,"After being raped by an intruder, a waitress (Tracy Pollan) reports the crime...and has to deal with its aftermath.",Strong classic SVU pacing and a solid standalone watch.
1,11,Bad Blood,2000-01-14,,8.5,True,False,False,"The investigation of a gay man's murder, following a party in his apartment building, involves an ex-con and his brother.",Strong classic SVU pacing and a solid standalone watch.
1,12,Russian Love Poem,2000-01-21,,8.5,True,False,False,The investigation of a multimillionaire's killing involves bisexual infidelities and a number of Russians.,Strong classic SVU pacing and a solid standalone watch.
1,13,Disrobed,2000-02-04,,8.5,True,False,False,"The investigation of a judge's murder involves blackmail, sexual favors, and a convict's wife (Kathryn Meisle), who was a battered spouse.",Strong classic SVU pacing and a solid standalone watch.
1,14,Limitations,2000-02-11,,8.5,True,False,False,"Faced with the expiration of a statute of limitations, the staff tries to find a rapist involved in three assaults that occurred five years earlier.",Strong classic SVU pacing and a solid standalone watch.
1,15,"Entitled, Part 1",2000-02-18,,8.5,True,False,False,"The detectives of Special Victims Unit team with the 27th Precinct to investigate a salesman's murder, leading them to a politically influential family. When the case goes to court",Strong classic SVU pacing and a solid standalone watch.
1,16,The Third Guy,2000-02-25,,8.5,True,False,False,"After two teens are caught in connection to an assault and robbery of an elderly woman, it's apparent that the attack was committed by someone else.",Strong classic SVU pacing and a solid standalone watch.
1,17,Misleader,2000-03-31,,8.5,True,False,False,The daughter-in-law of the leader of a religious group is found strangled in a New York hotel room. The suspects include a colleague and a thief.,Strong classic SVU pacing and a solid standalone watch.
1,18,Chat Room,2000-04-14,,8.5,True,False,False,A teen's claim that she was assaulted by a man who befriended her on the Internet leads to a case involving pedophilia.,Strong classic SVU pacing and a solid standalone watch.
1,19,Contact,2000-04-28,,8.5,True,False,False,A forensic psychologist (Audra McDonald) is called in to help apprehend a serial rapist who preys on women in the subway.,Strong classic SVU pacing and a solid standalone watch.
1,20,Remorse,2000-05-05,,8.5,True,False,False,A TV newswoman's on-air discussion of her assault leads to a case involving two fatal bombings.,Strong classic SVU pacing and a solid standalone watch.
1,21,Nocturne,2000-05-12,,8.5,True,False,False,"After a piano teacher is arrested for pedophilia, the detectives want a long-time student to testify against him.",Strong classic SVU pacing and a solid standalone watch.
1,22,Slaves,2000-05-19,,8.5,True,False,False,"Detectives try to help a woman who claims that she was ""trapped in a situation she cannot escape from.""",Strong classic SVU pacing and a solid standalone watch.
2,1,Wrong is Right,2000-10-20,,8.5,True,False,False,Detectives investigate the murder of a man who was set on fire.,Strong classic SVU pacing and a solid standalone watch.
2,2,Honor,2000-10-27,,8.5,True,False,False,The case of an assaulted woman found in a park leads to an investigation involving a clash of cultures and a family's honor.,Strong classic SVU pacing and a solid standalone watch.
2,3,"Closure, Part 2",2000-11-03,,8.5,True,False,False,"A year after she was raped, a woman (Tracy Pollan) follows her attacker (Neil Maffin) and reports his activities to the police.",Strong classic SVU pacing and a solid standalone watch.
2,4,Legacy,2000-11-10,,8.5,True,False,False,The detectives investigate the case of a comatose 7-year-old girl and try to determine who has abused her.,Strong classic SVU pacing and a solid standalone watch.
2,5,Baby Killer,2000-11-17,,8.5,True,False,False,The squad is assigned a special case: to investigate the fatal shooting of a little girl by her 7-year-old classmate,Strong classic SVU pacing and a solid standalone watch.
2,6,Noncompliance,2000-11-24,,8.5,True,False,False,A schizophrenic (Kevin Breznahan) who refuses to take his medication becomes the main suspect in a killing and an assault.,Strong classic SVU pacing and a solid standalone watch.
2,7,Asunder,2000-12-01,,8.5,True,False,False,A rape charge made by a woman (Amy Carlson) against her police-sergeant husband (Nestor Serrano) leads to a complicated case.,Strong classic SVU pacing and a solid standalone watch.
2,8,Taken,2000-12-15,,8.5,True,False,False,The detectives investigate a rape that occurred during the opening festivities of a luxury hotel.,Strong classic SVU pacing and a solid standalone watch.
